#Keyword Types: 500
#Keyword Tokens: 305248
#Search Hits: 1
1	11030	+	9542.8	0.0242	быть
2	3359	+	4646.53	0.0074	мочь
3	4976	+	4512.01	0.011	год
4	5431	+	3931.54	0.012	этот
5	5173	+	3529.81	0.0114	который
6	3132	+	3252.33	0.0069	весь
7	3223	+	3034.46	0.0071	свой
8	2920	+	2149.5	0.0065	тот
9	1676	+	1586.3	0.0037	страна
10	2605	+	1521.6	0.0058	такой
11	1684	+	1353.75	0.0037	новый
12	1648	+	1333.73	0.0037	стать
13	2741	+	1320.26	0.0061	человек
14	1836	+	1283.87	0.0041	россия
15	1602	+	1273.73	0.0036	наш
16	1600	+	1265.22	0.0036	самый
17	4979	+	1227.44	0.011	они
18	2063	+	1137.83	0.0046	другой
19	1148	+	1115.61	0.0026	российский
20	2638	+	1113.76	0.0059	один
21	1461	+	1065.15	0.0032	говорить
22	7081	+	1054.63	0.0156	он
23	828	+	992.82	0.0018	нужный
24	1123	+	905.77	0.0025	работа
25	668	+	858.21	0.0015	являться
26	1428	+	858.2	0.0032	делать
27	1499	+	853.72	0.0033	первый
28	667	+	807.93	0.0015	тысяча
29	619	+	791.3	0.0014	некоторый
30	706	+	780.07	0.0016	сторона
31	1414	+	711.13	0.0031	какой
32	1033	+	708.76	0.0023	иметь
33	3038	+	681.98	0.0067	она
34	505	+	667.68	0.0011	хотеть
35	744	+	665.82	0.0017	видеть
36	818	+	659.55	0.0018	случай
37	7125	+	638.35	0.0157	то
38	784	+	635.59	0.0017	идти
39	627	+	635.22	0.0014	важный
40	559	+	634.38	0.0012	миллион
41	834	+	592.91	0.0019	слово
42	728	+	592.22	0.0016	знать
43	441	+	588.71	0.001	разный
44	1116	+	584	0.0025	система
45	792	+	581.89	0.0018	последний
46	520	+	577.73	0.0012	ничто
47	598	+	577.51	0.0013	оказаться
48	622	+	572.06	0.0014	сила
49	842	+	567.42	0.0019	считать
50	627	+	563.34	0.0014	ученый
51	432	+	559.1	0.001	казаться
52	1468	+	556.31	0.0033	много
53	623	+	551.26	0.0014	политический
